"Ár";"Mánuður";"Vísitala neysluverðs Breytingar í hverjum mánuði, %"
"1998";"Janúar";0.6
"1998";"Febrúar";-0.2
"1998";"Mars";0.4
"1998";"Apríl";0.2
"1998";"Maí";0.3
"1998";"Júní";0.2
"1998";"Júlí";-0.2
"1998";"Ágúst";-0.5
"1998";"September";0.1
"1998";"Október";0.4
"1998";"Nóvember";0.3
"1998";"Desember";-0.2
"1999";"Janúar";0.6
"1999";"Febrúar";-0.2
"1999";"Mars";0.5
"1999";"Apríl";0.5
"1999";"Maí";0.5
"1999";"Júní";0.8
"1999";"Júlí";0.4
"1999";"Ágúst";0.4
"1999";"September";0.8
"1999";"Október";0.8
"1999";"Nóvember";0.0
"1999";"Desember";0.4
"2000";"Janúar";0.8
"2000";"Febrúar";-0.3
"2000";"Mars";0.8
"2000";"Apríl";0.6
"2000";"Maí";0.4
"2000";"Júní";0.4
"2000";"Júlí";0.5
"2000";"Ágúst";-0.5
"2000";"September";0.2
"2000";"Október";1.0
"2000";"Nóvember";0.3
"2000";"Desember";0.0
"2001";"Janúar";0.1
"2001";"Febrúar";0.2
"2001";"Mars";0.6
"2001";"Apríl";1.2
"2001";"Maí";1.4
"2001";"Júní";1.5
"2001";"Júlí";0.8
"2001";"Ágúst";0.3
"2001";"September";0.7
"2001";"Október";0.6
"2001";"Nóvember";0.4
"2001";"Desember";0.5
"2002";"Janúar";0.9
"2002";"Febrúar";-0.3
"2002";"Mars";0.4
"2002";"Apríl";0.0
"2002";"Maí";0.0
"2002";"Júní";0.5
"2002";"Júlí";0.1
"2002";"Ágúst";-0.5
"2002";"September";0.5
"2002";"Október";0.5
"2002";"Nóvember";-0.2
"2002";"Desember";0.1
"2003";"Janúar";0.4
"2003";"Febrúar";-0.2
"2003";"Mars";1.1
"2003";"Apríl";0.1
"2003";"Maí";-0.2
"2003";"Júní";0.1
"2003";"Júlí";-0.1
"2003";"Ágúst";-0.1
"2003";"September";0.7
"2003";"Október";0.5
"2003";"Nóvember";0.1
"2003";"Desember";0.3
"2004";"Janúar";0.0
"2004";"Febrúar";-0.3
"2004";"Mars";0.6
"2004";"Apríl";0.6
"2004";"Maí";0.8
"2004";"Júní";0.8
"2004";"Júlí";-0.5
"2004";"Ágúst";0.0
"2004";"September";0.4
"2004";"Október";0.8
"2004";"Nóvember";0.2
"2004";"Desember";0.5
"2005";"Janúar";0.1
"2005";"Febrúar";0.2
"2005";"Mars";0.8
"2005";"Apríl";0.2
"2005";"Maí";-0.5
"2005";"Júní";0.7
"2005";"Júlí";0.1
"2005";"Ágúst";0.2
"2005";"September";1.5
"2005";"Október";0.6
"2005";"Nóvember";-0.2
"2005";"Desember";0.4
"2006";"Janúar";0.3
"2006";"Febrúar";-0.1
"2006";"Mars";1.1
"2006";"Apríl";1.1
"2006";"Maí";1.4
"2006";"Júní";1.2
"2006";"Júlí";0.5
"2006";"Ágúst";0.3
"2006";"September";0.6
"2006";"Október";0.2
"2006";"Nóvember";0.0
"2006";"Desember";0.0
"2007";"Janúar";0.3
"2007";"Febrúar";0.4
"2007";"Mars";-0.3
"2007";"Apríl";0.6
"2007";"Maí";0.9
"2007";"Júní";0.5
"2007";"Júlí";0.2
"2007";"Ágúst";0.0
"2007";"September";1.3
"2007";"Október";0.5
"2007";"Nóvember";0.6
"2007";"Desember";0.7
"2008";"Janúar";0.2
"2008";"Febrúar";1.4
"2008";"Mars";1.5
"2008";"Apríl";3.4
"2008";"Maí";1.4
"2008";"Júní";0.9
"2008";"Júlí";0.9
"2008";"Ágúst";0.9
"2008";"September";0.9
"2008";"Október";2.2
"2008";"Nóvember";1.7
"2008";"Desember";1.5
"2009";"Janúar";0.6
"2009";"Febrúar";0.5
"2009";"Mars";-0.6
"2009";"Apríl";0.4
"2009";"Maí";1.1
"2009";"Júní";1.4
"2009";"Júlí";0.2
"2009";"Ágúst";0.5
"2009";"September";0.8
"2009";"Október";1.1
"2009";"Nóvember";0.7
"2009";"Desember";0.5
"2010";"Janúar";-0.3
"2010";"Febrúar";1.1
"2010";"Mars";0.6
"2010";"Apríl";0.2
"2010";"Maí";0.4
"2010";"Júní";-0.3
"2010";"Júlí";-0.7
"2010";"Ágúst";0.2
"2010";"September";0.0
"2010";"Október";0.7
"2010";"Nóvember";0.1
"2010";"Desember";0.3
"2011";"Janúar";-0.9
"2011";"Febrúar";1.2
"2011";"Mars";1.0
"2011";"Apríl";0.8
"2011";"Maí";0.9
"2011";"Júní";0.5
"2011";"Júlí";0.1
"2011";"Ágúst";0.3
"2011";"September";0.6
"2011";"Október";0.3
"2011";"Nóvember";0.0
"2011";"Desember";0.4
"2012";"Janúar";0.3
"2012";"Febrúar";1.0
"2012";"Mars";1.0
"2012";"Apríl";0.8
"2012";"Maí";0.0
"2012";"Júní";0.5
"2012";"Júlí";-0.7
"2012";"Ágúst";-0.2
"2012";"September";0.8
"2012";"Október";0.3
"2012";"Nóvember";0.3
"2012";"Desember";0.0
"2013";"Janúar";0.3
"2013";"Febrúar";1.6
"2013";"Mars";0.2
"2013";"Apríl";0.2
"2013";"Maí";0.0
"2013";"Júní";0.5
"2013";"Júlí";-0.3
"2013";"Ágúst";0.3
"2013";"September";0.3
"2013";"Október";0.0
"2013";"Nóvember";0.4
"2013";"Desember";0.5
"2014";"Janúar";-0.7
"2014";"Febrúar";0.7
"2014";"Mars";0.2
"2014";"Apríl";0.3
"2014";"Maí";0.1
"2014";"Júní";0.4
"2014";"Júlí";-0.2
"2014";"Ágúst";0.2
"2014";"September";-0.1
"2014";"Október";0.1
"2014";"Nóvember";-0.5
"2014";"Desember";0.3
